Date,"HHS Region 1 (CT, ME, MA, NH, RI, VT)","HHS Region 2 (NJ, NY)","HHS Region 3 (DE, DC, MD, PA, VA, WV)","HHS Region 4 (AL, FL, GA, KY, MS, NC, SC, TN)","HHS Region 5 (IL, IN, MI, MN, OH, WI)","HHS Region 6 (AR, LA, NM, OK, TX)","HHS Region 7 (IA, KS, MO, NE)","HHS Region 8 (CO, MT, ND, SD, UT, WY)","HHS Region 9 (AZ, CA, HI, NV)","HHS Region 10 (AK, ID, OR, WA)"
5/7/2006,427,784,1459,683,807,1383,418,395,1126,912
5/14/2006,374,713,1273,661,716,1348,395,345,1050,825
5/21/2006,401,772,1279,593,717,1257,419,355,1033,793
5/28/2006,345,658,1179,605,694,1307,378,325,1011,781
6/4/2006,326,640,1137,610,584,1093,349,266,859,649
6/11/2006,316,625,1077,536,575,1048,316,234,826,647
6/18/2006,277,525,1079,482,539,1061,289,233,759,668
6/25/2006,236,508,1042,453,558,985,287,254,726,586
7/2/2006,322,563,948,487,560,995,305,248,755,625
7/9/2006,262,536,997,458,571,1041,338,250,723,515
7/16/2006,260,540,963,446,516,975,324,236,707,566
7/23/2006,245,568,977,504,523,1035,306,214,614,538
7/30/2006,257,474,961,437,527,980,321,207,666,534
8/6/2006,257,547,937,454,515,1016,300,219,670,495
8/13/2006,285,541,973,506,529,1001,312,239,719,600
8/20/2006,263,540,1033,556,585,1067,333,246,719,515
8/27/2006,284,545,1002,555,574,1142,350,309,760,501
9/3/2006,309,649,1223,643,627,1276,403,323,873,593
9/10/2006,419,751,1325,685,756,1427,438,337,990,592
9/17/2006,483,945,1560,781,922,1554,516,367,1057,741
9/24/2006,528,908,1562,785,933,1636,516,421,1128,865
10/1/2006,519,933,1611,843,944,1828,580,467,1194,956
10/8/2006,564,953,1618,906,994,1899,538,483,1281,1123
10/15/2006,551,1010,1712,1053,1084,1953,561,493,1340,1031
10/22/2006,639,1119,1923,1123,1160,2381,651,627,1539,1121
10/29/2006,657,1214,2018,1263,1282,2578,841,687,1652,1429
11/5/2006,702,1277,2053,1449,1294,2915,900,726,1580,1292
11/12/2006,861,1379,2205,1578,1492,2943,920,812,1809,1472
11/19/2006,688,1193,1951,1455,1377,2759,782,690,1611,1221
11/26/2006,912,1563,2359,1759,1586,2916,953,881,1969,1439
12/3/2006,921,1661,2327,1724,1526,2923,984,813,1909,1538
12/10/2006,928,1613,2340,2414,1601,3312,1081,889,2006,1618
12/17/2006,1049,1728,2546,2969,1859,3406,1362,930,2040,1782
12/24/2006,1207,2065,2786,2682,2335,3797,1715,1126,2568,2157
12/31/2006,1425,2066,2864,2112,2187,3653,1378,992,2617,2238
1/7/2007,1138,1784,2490,1697,1805,3251,1169,879,2323,1977
1/14/2007,957,1616,2240,1590,1712,2854,1268,807,2398,1961
1/21/2007,1100,1584,2227,1842,1919,3376,1591,859,2865,2426
1/28/2007,1053,1801,2360,1993,2118,4318,1648,1120,3233,2889
2/4/2007,1188,2046,2559,2199,2517,5975,1983,1253,3381,4336
2/11/2007,1255,2204,2616,2482,2899,6090,2190,1469,3162,5185
2/18/2007,1358,2399,2848,2598,2586,6458,1967,1689,2564,4005
2/25/2007,1326,2393,2868,2292,2244,5358,1511,1737,2445,3162
3/4/2007,1210,2257,2850,1937,2094,4491,1118,1604,2333,2695
3/11/2007,1071,2009,2597,1626,1877,3318,941,1501,1879,1902
3/18/2007,1002,1878,2558,1444,1759,2694,793,1243,1618,1503
3/25/2007,930,1745,2330,1141,1320,2095,613,866,1384,1361
4/1/2007,824,1436,1925,875,1112,1843,517,777,1277,1218
4/8/2007,778,1269,1898,935,1153,2098,525,646,1253,1219
4/15/2007,677,1082,1863,820,1064,1829,483,607,1134,960
4/22/2007,550,833,1599,762,844,1668,445,500,1002,903
4/29/2007,440,787,1404,644,757,1534,449,388,970,934
5/6/2007,365,768,1403,649,721,1394,384,335,880,814
5/13/2007,293,681,1218,633,695,1372,330,343,886,737
5/20/2007,318,692,1261,560,646,1330,366,333,801,748
5/27/2007,280,648,1163,573,633,1353,378,278,851,775
6/3/2007,257,619,1095,547,553,1281,333,265,765,615
6/10/2007,277,595,1057,520,544,1314,307,270,749,667
6/17/2007,267,548,1117,491,544,1257,277,266,751,630
6/24/2007,258,512,1011,509,509,1191,290,243,727,617
7/1/2007,236,521,1013,486,518,1234,295,234,685,563
7/8/2007,216,526,1027,449,509,1183,332,248,687,548
7/15/2007,244,502,983,487,502,1212,305,267,705,470
7/22/2007,224,476,1010,493,499,1210,318,259,667,489
7/29/2007,213,555,1002,486,509,1219,298,278,695,474
8/5/2007,211,531,1004,501,541,1265,349,289,674,560
8/12/2007,232,566,1029,519,563,1183,342,348,716,533
8/19/2007,270,557,1062,529,600,1178,332,347,780,537
8/26/2007,270,576,1157,590,645,1316,416,319,727,575
9/2/2007,264,661,1277,680,744,1548,468,348,810,606
9/9/2007,334,664,1382,691,797,1577,501,393,918,692
9/16/2007,456,847,1454,727,859,1724,547,387,940,767
9/23/2007,419,863,1441,782,872,1704,544,458,1114,865
9/30/2007,448,1039,1575,850,902,1958,553,497,1193,1083
10/7/2007,447,952,1553,892,956,2205,585,515,1223,1135
10/14/2007,572,1082,1642,1035,1098,2298,661,592,1284,1174
10/21/2007,551,1064,1738,1085,1155,2514,733,635,1285,1338
10/28/2007,667,1242,1868,1188,1272,2735,899,693,1385,1418
11/4/2007,640,1317,2050,1281,1373,2875,913,696,1510,1351
11/11/2007,782,1360,2055,1310,1341,2937,965,756,1570,1526
11/18/2007,680,1191,1868,1187,1222,2419,770,737,1380,1320
11/25/2007,782,1450,2167,1339,1467,2937,944,763,1664,1460
12/2/2007,769,1466,2051,1279,1335,2962,854,738,1525,1428
12/9/2007,737,1452,2070,1248,1360,2553,827,794,1656,1425
12/16/2007,762,1630,2156,1229,1550,2517,865,933,1811,1655
12/23/2007,938,1792,2392,1347,1818,3037,996,1166,2114,2124
12/30/2007,1094,2225,2602,1490,2024,4237,1030,1179,2712,2287
1/6/2008,1008,2131,2519,1485,1800,4331,1000,1034,2623,2350
1/13/2008,975,2091,2539,1473,1858,4791,1144,1198,2589,2266
1/20/2008,1158,2525,3216,2095,2571,6953,1575,1591,3422,2715
1/27/2008,1704,3659,4484,3234,3380,9542,2574,1978,3882,3325
2/3/2008,2621,4752,5760,4730,4440,10290,3538,2777,4337,3949
2/10/2008,3394,5014,5741,5736,4702,9336,4095,3417,5448,4442
2/17/2008,4440,5750,6019,6540,5481,8836,4680,4425,5615,5500
2/24/2008,3822,5088,5369,5415,5223,7280,4033,3682,4374,4810
3/2/2008,3125,4014,4381,3915,4379,5193,3440,2802,3413,3662
3/9/2008,2230,3280,3461,2825,3544,4224,2558,2052,2737,3162
3/16/2008,2028,2558,2944,2066,2865,3118,1739,1475,2216,2467
3/23/2008,1503,2142,2626,1615,2337,2726,1256,1146,1834,2335
3/30/2008,1156,1661,2193,1289,1831,2201,882,921,1555,2107
4/6/2008,905,1374,1888,1056,1469,2018,704,715,1379,1652
4/13/2008,681,1126,1669,926,1224,1852,652,639,1297,1404
4/20/2008,584,906,1493,833,982,1780,525,582,1205,1312
4/27/2008,470,797,1385,763,834,1552,484,489,1002,1169
5/4/2008,351,777,1190,672,746,1393,433,404,951,1023
5/11/2008,395,733,1137,596,774,1399,441,418,924,1037
5/18/2008,345,750,1173,592,720,1341,378,361,810,824
5/25/2008,327,696,1089,588,665,1214,334,324,783,712
6/1/2008,296,652,1009,531,595,1179,299,311,724,675
6/8/2008,256,574,908,482,565,1062,263,314,745,729
6/15/2008,250,547,936,466,570,1037,302,272,706,695
6/22/2008,253,540,919,443,517,983,251,274,583,574
6/29/2008,232,486,878,443,525,983,272,222,583,522
7/6/2008,258,523,890,451,509,1050,284,228,618,565
7/13/2008,231,507,885,444,490,988,251,226,557,482
7/20/2008,222,496,827,420,490,988,243,200,568,526
7/27/2008,258,494,866,433,475,987,289,225,545,500
8/3/2008,222,558,874,461,505,948,278,201,569,499
8/10/2008,264,562,878,488,516,1004,316,210,663,533
8/17/2008,280,586,913,493,559,1015,352,261,659,527
8/24/2008,300,606,994,559,607,1171,362,279,699,564
8/31/2008,332,650,1221,624,685,1333,420,314,954,666
9/7/2008,370,730,1470,726,783,1460,510,398,1038,793
9/14/2008,458,903,1564,784,913,1554,580,457,1143,833
9/21/2008,532,1078,1644,876,1026,1746,561,449,1254,936
9/28/2008,606,1104,1792,920,1084,1891,546,477,1265,1044
10/5/2008,661,1229,1789,979,1112,2083,582,473,1254,1134
